station_complex_id,station_complex,hour,Pasajeros mensual,estacion_latitude,estacion_longitude
20,"City Hall (R,W)",21,1361.0,40.713284,-74.00698
22,"Rector St (R,W)",10,3499.0,40.70722,-74.01334
22,"Rector St (R,W)",11,3467.0,40.70722,-74.01334
22,"Rector St (R,W)",12,3569.0,40.70722,-74.01334
22,"Rector St (R,W)",13,4008.0,40.70722,-74.01334
22,"Rector St (R,W)",14,4140.0,40.70722,-74.01334
22,"Rector St (R,W)",15,5975.0,40.70722,-74.01334
22,"Rector St (R,W)",16,7954.0,40.70722,-74.01334
22,"Rector St (R,W)",17,11999.0,40.70722,-74.01334
22,"Rector St (R,W)",18,8714.0,40.70722,-74.01334
22,"Rector St (R,W)",19,4207.0,40.70722,-74.01334
22,"Rector St (R,W)",20,2208.0,40.70722,-74.01334
22,"Rector St (R,W)",21,1081.0,40.70722,-74.01334
220,"155 St (B,D)",10,758.0,40.830135,-73.93821
220,"155 St (B,D)",11,539.0,40.830135,-73.93821
220,"155 St (B,D)",12,682.0,40.830135,-73.93821
220,"155 St (B,D)",13,822.0,40.830135,-73.93821
220,"155 St (B,D)",14,1098.0,40.830135,-73.93821
220,"155 St (B,D)",15,1015.0,40.830135,-73.93821
220,"155 St (B,D)",16,979.0,40.830135,-73.93821
220,"155 St (B,D)",17,793.0,40.830135,-73.93821
220,"155 St (B,D)",18,501.0,40.830135,-73.93821
220,"155 St (B,D)",19,313.0,40.830135,-73.93821
220,"155 St (B,D)",20,240.0,40.830135,-73.93821
220,"155 St (B,D)",21,153.0,40.830135,-73.93821
222,Roosevelt Island (F),10,8515.0,40.759144,-73.95326
222,Roosevelt Island (F),11,7419.0,40.759144,-73.95326
222,Roosevelt Island (F),12,8096.0,40.759144,-73.95326
222,Roosevelt Island (F),13,8357.0,40.759144,-73.95326
222,Roosevelt Island (F),14,8708.0,40.759144,-73.95326
222,Roosevelt Island (F),15,10063.0,40.759144,-73.95326
222,Roosevelt Island (F),16,10120.0,40.759144,-73.95326
222,Roosevelt Island (F),17,11755.0,40.759144,-73.95326
222,Roosevelt Island (F),18,10578.0,40.759144,-73.95326
222,Roosevelt Island (F),19,7154.0,40.759144,-73.95326
222,Roosevelt Island (F),20,4025.0,40.759144,-73.95326
222,Roosevelt Island (F),21,2328.0,40.759144,-73.95326
223,"Lexington Av/63 St (F,Q)",10,9646.0,40.76463,-73.96611
223,"Lexington Av/63 St (F,Q)",11,11694.0,40.76463,-73.96611
